Site,Critical,High,Medium,Low
api.usopublico.vidamais,0,0,4,7
acsmobile.vida,0,2,2,9
atualizaagendamento,0,25,7,23
autonotificacaoreacoesimuno,0,0,15,19
bi,0,0,10,14
blitz.coronavirus,0,0,1,4
carteiradevacinadigital,0,0,20,44
cip,0,0,13,38
credenciamentoeas,2,4,9,24
cvd,0,0,20,44
esps,3,7,10,35
esusab,0,0,0,56
filometro,4,0,7,34
gerenciamentoleitos,0,0,6,8
gestaodesaude.salutemais,14,9,13,7
gitlab,0,2,7,15
mapadasaude.salvador.ba.gov.br,0,0,10,17
mapaupas,6,1,8,39
notifique.treinamento,3,9,6,20
osfabrica,0,0,4,11
pecesus,0,0,29,113
portaldeservicosnti,14,15,13,15
portalsaude.salvador.ba.gov.br,9,3,6,7
redmine,0,0,4,11
registry.gitlab,0,0,2,4
relatorio.esusab,0,0,0,56
salutemais,0,0,1,1
saudecheck,0,0,1,4
saude.homologacao.salvador.ba.gov.br,5,3,25,40
sigau,1,0,8,20
simon,0,1,9,20
vacinometro,9,1,15,65
vidamais,0,0,0,5
www.vidamais,0,0,10,34
academiasdesaude.salvador.ba.gov.br,1,1,11,30
api.estabelecimentossalus.homologacao,0,1,1,5
api.salus.homologacao,0,1,2,15
avaliaeas.homologacao,0,0,11,9
avaliaeas,0,0,15,18
bibliotecadigital,1,0,5,5
carnaval,1,0,13,4
catalogodesistemas,6,1,51,39
cievs,2,3,10,4
comorbidades,0,0,10,7
detetivefurafila,4,1,26,16
educacao.nti,4,0,21,16
educacao,13,13,7,13
eventos.homologacao,0,1,12,43
indicadores.saladesituacao,14,9,12,4
meupetconsolidado.homologacao,16,13,13,28
meupetconsolidado,4,4,14,31
odontoprotese,1,0,16,12
pisoenfermagem,0,0,5,12
portalvida,2,5,14,3
prestadores,1,1,1,19
psono,0,1,0,5
quizcovid,4,1,26,15
saudedoservidor.salvador.ba.gov.br,0,0,6,7
saude.salvador.ba.gov.br,2,1,1,9
servicosocial.salutemais,0,0,2,4
sigau.homologacao,13,13,10,17
tabnet,1,1,1,21
treinamento,1,0,5,3
vacinacovid,1,0,4,3
vacinaexpress,0,1,32,27
vacinahoramarcadaviagem,0,0,10,4
vacinahoramarcada,0,0,15,44
vida.beta,1,0,4,1
wcfservicevida,0,0,4,39
www.portfolionti,7,1,16,107
recadastramento,0,0,15,50
